Ambient Air Quality Status of the Country during 2021 ,,,,,
(Integrated data in microgram per cubic meter) ,,,,,
State / Union Territory ,City / town / village ,Annual Average SO2,Annual Average NO2,Annual Average PM10,Annual Average PM2.5
Andhra Pradesh ,Amaravati ,14,12,55,28
Andhra Pradesh ,Anatapur ,7,16,64,30
Andhra Pradesh ,Chittor ,5,14,46,25
Andhra Pradesh ,Eluru ,5,17,63,30
Andhra Pradesh ,Guntur ,5,17,60,29
Andhra Pradesh ,Kadapa ,5,14,53,26
Andhra Pradesh ,Kakinada ,8,14,61,28
Andhra Pradesh ,Kurnool ,6,15,58,26
Andhra Pradesh ,Nellore ,5,17,55,23
Andhra Pradesh ,Ongole ,5,17,53,18
Andhra Pradesh ,Rajahmundry ,8,15,72,33
Andhra Pradesh ,Srikakulam ,9,20,77,27
Andhra Pradesh ,Tirupati ,6,22,51,27
Andhra Pradesh ,Vijayawada ,5,17,65,34
Andhra Pradesh ,Visakhapatnam ,12,35,103,41
Andhra Pradesh ,Vizianagaram ,9,19,72,27
Arunachal Pradesh ,Itanagar ,3,5,67,- 
Arunachal Pradesh ,Naharlagun ,27,6,54,15
Assam ,Bongaigaon ,4,11,40,- 
Assam ,Daranga ,6,13,54,- 
Assam ,Dibrugarh ,6,11,39,- 
Assam ,Golaghat ,6,12,50,- 
Assam ,Guwahati ,26,11,114,60
Assam ,Magherita ,6,11,41,- 
Assam ,Nagaon ,6,14,101,- 
Assam ,Nalbari ,6,14,92,42
Assam ,North Lakhimpur ,6,14,57,- 
Assam ,Silcher ,8,9,46,37
Assam ,Sivasagar ,6,12,47,- 
Assam ,Tezpur ,6,14,97,- 
Assam ,Tinsukia ,6,11,47,- 
Bihar ,Gaya ,11,14,79,52
Bihar ,Hajipur ,5,11,148,60
Bihar ,Muzaffarpur ,6,13,142,80
Bihar ,Patna ,8,39,150,73
Chandigarh (UT) ,Chandigarh ,6,24,98,49
Chattisgarh ,Bilaspur ,8,13,71,28
Chattisgarh ,Durg-Bhillainagar ,7,11,61,31
Chattisgarh ,Korba ,8,18,61,- 
Chattisgarh ,Raigarh ,- ,- ,65,28
Chattisgarh ,Raipur ,13,22,62,35
Dadara & Nagar Haveli and Daman & Diu (UT) ,Daman ,15,20,84,30
Delhi (UT) ,Delhi ,10,42,207,107
Goa ,Amona ,7,13,59,27
Goa ,Assanora ,7,13,58,26
Goa ,Bicholim ,8,13,61,28
Goa ,Codli ,7,13,62,28
Goa ,Cuncolim ,6,13,67,32
Goa ,Honda ,7,13,61,28
Goa ,Kundaim ,7,13,62,28
Goa ,Mapusa ,2,16,57,24
Goa ,Margao ,7,13,59,27
Goa ,Panaji ,2,15,73,26
Goa ,Ponda ,8,13,63,28
Goa ,Sanguem ,7,13,60,28
Goa ,Tilamol ,7,13,62,29
Goa ,Tuem ,7,13,59,27
Goa ,Usgao-Pale ,8,13,64,29
Goa ,Vasco ,2,15,58,32
Gujarat ,Ahmedabad ,17,34,123,46
Gujarat ,Ankleshwar ,40,26,120,63
Gujarat ,Gandhinagar ,9,15,78,40
Gujarat ,Jamnagar ,14,18,116,28
Gujarat ,Nandesari ,6,8,72,51
Gujarat ,Navarangpur ,12,16,97,23
Gujarat ,Rajkot ,14,18,118,30
Gujarat ,Surat ,20,24,100,35
Gujara ,Saraspur ,13,17,120,27
Gujarat ,Vadodara ,15,19,111,30
Gujarat ,Vapi ,16,24,114,51
Gujarat ,Vatva ,28,68,160,67
Haryana ,Ambala ,9,21,122,62
Haryana ,Bahadurgarh ,13,28,- ,91
Haryana ,Ballabgarh ,9,35,165,82
Haryana ,Bhiwani ,13,23,135,50
Haryana ,Charkhi Dadri ,5,28,156,79
Haryana ,Dharuhera ,18,26,187,77
